"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H2";"MountingHole_3.2mm_M3_DIN965_Pad";3;"MountingHole";;;
2;"U2";"ESP32_NODEMCU";1;"NodeMCU32";;;
3;"D2,D1";"SOT-23";2;"BAS21";;;
4;"R38,R29,R27,R14,R13,R8,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"100";;;
5;"J19,J12";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"LED";;;
6;"U4";"DCDC_1A_module_SMD";1;"DCDC_1A_Module";;;
7;"JP9";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"OUT_M2";;;
8;"C11,C10,C9,C8,C7,C6,C5,C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"100n";;;
9;"U3,U1";"DIP-4_W7.62mm";2;"PC817";;;
10;"R37,R36,R35,R34,R28,R18,R17,R16,R15,R10,R9,R5,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"4k7";;;
11;"R33,R32,R31,R30";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"47";;;
12;"R26,R24,R22,R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"47k";;;
13;"R25,R23,R21,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"400k";;;
14;"R12,R11,R4,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
15;"R6,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k6";;;
16;"Q4,Q3,Q2,Q1";"SOT230P700X180-4N";4;"BUK7880-55A_CUX";;;
17;"JP7";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"VCCC sup";;;
18;"JP6";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"5V sup";;;
19;"JP5";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"3v3 Sup";;;
20;"JP4,JP3";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";2;"5V";;;
21;"JP2,JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";2;"3V3";;;
22;"J18,J17";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"TWI_2";;;
23;"J16,J15";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"TWI_1";;;
24;"J14,J13";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"DALLAS";;;
25;"J11";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"A3";;;
26;"J10";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"A1";;;
27;"J8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"A0";;;
28;"J7";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"FET";;;
29;"J6,J5";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"UART_1";;;
30;"J4";"AMASS_XT30U-M_1x02_P5.0mm_Vertical";1;"Conn_01x02_Male";;;
31;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Opto2";;;
32;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Opto1";;;
33;"J1";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"OUT AND IO";;;
34;"IC1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM2904DT";;;
35;"C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1Âµ";;;
